Date and Time,Latitude,Longitude,Magnitude,Depth
 13-NOV-2019 07:21:34 , -21.92 , -179.40 ,4.6 ,585 
 13-NOV-2019 03:34:56 , -6.26 , 104.60 ,4.5 ,56 
 13-NOV-2019 03:29:00 , 46.81 , 152.73 ,4.7 ,35 
 13-NOV-2019 02:33:01 , 15.85 , 146.85 ,5.3 ,10 
 13-NOV-2019 00:09:19 , -15.33 , -70.42 ,5.1 ,200 
 12-NOV-2019 21:47:34 , -11.76 , -77.23 ,4.0 ,64 
 12-NOV-2019 21:35:07 , 12.93 , -88.53 ,5.1 ,71 
 12-NOV-2019 16:02:42 , -20.15 , 59.84 ,4.8 ,10 
 12-NOV-2019 15:51:06 , -15.03 , 167.85 ,5.0 ,122 
 12-NOV-2019 15:11:32 , 1.42 , 126.49 ,4.7 ,51 
 12-NOV-2019 14:34:07 , 51.01 , 93.26 ,4.3 ,10 
 12-NOV-2019 14:01:49 , 37.79 , 69.95 ,4.3 ,10 
 12-NOV-2019 13:18:25 , 27.17 , 57.71 ,4.2 ,10 
 12-NOV-2019 12:55:38 , 36.51 , 141.06 ,4.6 ,36 
 12-NOV-2019 12:40:49 , -15.93 , -176.54 ,4.4 ,369 
 12-NOV-2019 11:42:52 , 0.87 , 97.40 ,4.9 ,32 
 12-NOV-2019 10:10:44 , -3.61 , 128.30 ,5.0 ,50 
 12-NOV-2019 08:25:21 , 27.17 , 57.80 ,4.7 ,10 
 12-NOV-2019 08:16:47 , 9.91 , 57.52 ,4.8 ,10 
 12-NOV-2019 02:48:27 , 0.95 , 123.62 ,4.6 ,35 
 12-NOV-2019 02:00:29 , 30.11 , 80.30 ,4.3 ,36 
 11-NOV-2019 23:40:59 , 1.39 , 127.01 ,5.3 ,117 
 11-NOV-2019 23:32:39 , -2.45 , 139.57 ,4.1 ,10 
 11-NOV-2019 23:03:28 , -18.89 , -175.36 ,6.1 ,10 
 11-NOV-2019 23:00:21 , -18.72 , -175.36 ,5.4 ,10 
 11-NOV-2019 20:52:23 , -31.80 , -71.44 ,4.3 ,40 
 11-NOV-2019 16:54:56 , 20.85 , 121.77 ,4.8 ,88 
 11-NOV-2019 16:35:52 , 19.86 , -155.36 ,4.93 ,33 
 11-NOV-2019 16:03:57 , 12.49 , -88.16 ,4.6 ,35 
 11-NOV-2019 15:52:41 , -0.96 , 128.55 ,4.5 ,22 
 11-NOV-2019 14:37:13 , -15.28 , -173.29 ,4.6 ,10 
 11-NOV-2019 11:42:36 , -14.22 , 167.11 ,4.6 ,173 
 11-NOV-2019 11:15:56 , -21.37 , -67.33 ,4.4 ,193 
 11-NOV-2019 10:52:47 , 44.63 , 4.67 ,4.8 ,10 
 11-NOV-2019 09:20:57 , -6.53 , 131.25 ,5.0 ,33 
 11-NOV-2019 05:11:01 , 5.63 , 126.67 ,4.4 ,79 
 11-NOV-2019 05:08:44 , -18.63 , -172.20 ,4.6 ,10 
 11-NOV-2019 02:19:49 , -27.70 , -71.40 ,4.3 ,20 
 11-NOV-2019 00:58:43 , 38.45 , 45.32 ,4.0 ,10 
 11-NOV-2019 00:12:32 , 27.15 , 57.77 ,4.0 ,38 
 10-NOV-2019 20:35:02 , -22.30 , -174.20 ,4.9 ,10 
 10-NOV-2019 16:14:21 , -7.25 , -75.86 ,4.9 ,114 
 10-NOV-2019 16:02:12 , 27.90 , 56.35 ,4.6 ,10 
 10-NOV-2019 15:18:21 , -28.87 , -67.36 ,4.2 ,159 
 10-NOV-2019 14:24:00 , -60.93 , -51.07 ,5.2 ,10 
 10-NOV-2019 13:59:41 , -55.59 , -27.60 ,4.9 ,27 
 10-NOV-2019 11:12:08 , 43.36 , 139.34 ,4.4 ,201 
 10-NOV-2019 10:46:04 , 40.26 , 144.02 ,5.2 ,10 
 10-NOV-2019 09:50:57 , 5.30 , -75.60 ,4.6 ,122 
 10-NOV-2019 09:18:27 , -9.63 , 152.34 ,4.5 ,10 
 10-NOV-2019 07:21:29 , -28.27 , -70.74 ,5.1 ,105 
 10-NOV-2019 03:21:34 , -7.11 , 128.82 ,4.6 ,44 
 10-NOV-2019 02:13:47 , 37.81 , 47.51 ,4.8 ,10 
 09-NOV-2019 23:10:35 , -59.79 , -24.91 ,4.8 ,10 
 09-NOV-2019 22:46:52 , 28.27 , 104.98 ,4.5 ,10 
 09-NOV-2019 18:58:41 , 52.75 , -132.32 ,4.2 ,15 
 09-NOV-2019 17:57:39 , -8.57 , 118.33 ,4.6 ,133 
 09-NOV-2019 17:26:13 , 14.75 , -93.03 ,4.0 ,54 
 09-NOV-2019 14:17:00 , 1.95 , 96.76 ,4.7 ,32 
 09-NOV-2019 13:26:10 , 67.06 , -154.29 ,4.6 ,3 
 09-NOV-2019 11:24:30 , -20.29 , -176.29 ,5.6 ,257 
 09-NOV-2019 11:16:58 , 52.51 , 160.79 ,5.0 ,10 
 09-NOV-2019 08:53:50 , -34.81 , -179.40 ,4.8 ,20 
 09-NOV-2019 08:32:52 , 14.48 , -90.29 ,5.6 ,197 
 09-NOV-2019 05:38:47 , 0.74 , -29.12 ,4.9 ,10 
 09-NOV-2019 03:43:50 , -14.84 , 167.50 ,4.9 ,101 
 09-NOV-2019 00:27:57 , -27.33 , 66.76 ,5.1 ,10 
 08-NOV-2019 23:14:47 , 0.24 , 127.03 ,4.7 ,114 
 08-NOV-2019 21:03:41 , 43.60 , 147.00 ,4.8 ,56 
 08-NOV-2019 20:15:26 , 61.31 , -149.96 ,4.0 ,37 
 08-NOV-2019 19:57:23 , 4.83 , 127.39 ,5.1 ,79 
 08-NOV-2019 15:52:46 , -15.72 , -173.11 ,5.2 ,35 
 08-NOV-2019 15:00:53 , 24.93 , -45.66 ,5.1 ,10 
 08-NOV-2019 14:54:39 , -4.19 , 133.99 ,4.1 ,10 
 08-NOV-2019 13:59:10 , -7.63 , 127.85 ,4.6 ,157 
 08-NOV-2019 13:51:47 , 37.81 , 47.48 ,4.7 ,10 
 08-NOV-2019 11:22:52 , -22.08 , -179.53 ,4.4 ,557 
 08-NOV-2019 10:44:44 , -21.97 , -179.49 , 6.5 ,583 
 08-NOV-2019 10:29:46 , 36.48 , 70.22 ,4.3 ,209 
 08-NOV-2019 10:09:57 , -57.89 , -25.15 ,4.9 ,35 
 08-NOV-2019 09:41:14 , -15.76 , -172.85 ,5.8 ,35 
 08-NOV-2019 09:18:23 , 36.60 , 140.85 ,4.2 ,46 
 08-NOV-2019 08:11:17 , 10.65 , -62.02 ,4.6 ,50 
 08-NOV-2019 07:25:51 , 21.51 , 143.13 ,4.9 ,316 
 08-NOV-2019 05:52:06 , -2.83 , 147.59 ,5.2 ,10 
 08-NOV-2019 05:31:44 , 10.78 , 125.70 ,5.2 ,54 
 07-NOV-2019 23:07:17 , 36.75 , 45.22 ,4.4 ,10 
 07-NOV-2019 22:51:26 , 52.89 , -160.71 ,4.1 ,10 
 07-NOV-2019 22:47:05 , 37.81 , 47.56 ,5.9 ,10 
 07-NOV-2019 22:41:28 , 5.67 , 126.34 ,5.1 ,95 
 07-NOV-2019 22:24:49 , -37.60 , 51.46 ,5.4 ,10 
 07-NOV-2019 21:48:44 , 55.01 , -157.97 ,4.9 ,36 
 07-NOV-2019 19:13:40 , -20.46 , -68.94 ,4.5 ,103 
 07-NOV-2019 18:00:56 , 27.22 , 55.00 ,4.3 ,10 
 07-NOV-2019 17:35:21 , 41.84 , 13.60 ,4.6 ,10 
 07-NOV-2019 14:21:48 , -3.98 , -104.01 ,4.8 ,10 
 07-NOV-2019 13:07:32 , -29.09 , -12.90 ,5.0 ,10 
 07-NOV-2019 08:28:21 , 55.05 , 111.42 ,4.4 ,10 
 07-NOV-2019 08:11:09 , -38.39 , 176.10 ,4.1 ,175 
 07-NOV-2019 04:35:37 , 1.93 , 126.60 ,4.7 ,64 
 07-NOV-2019 04:18:23 , 19.38 , 121.09 ,4.8 ,36 
 07-NOV-2019 02:30:32 , -3.90 , -103.95 ,4.6 ,10 
 07-NOV-2019 01:12:53 , 38.14 , 72.95 ,4.3 ,159 
 06-NOV-2019 23:37:21 , -20.93 , -174.08 ,5.0 ,10 
 06-NOV-2019 22:07:57 , 36.48 , 142.67 ,4.6 ,10 
 06-NOV-2019 22:03:12 , 40.99 , 142.68 ,4.8 ,34 
 06-NOV-2019 21:05:07 , 12.25 , -88.03 ,4.5 ,35 
 06-NOV-2019 21:00:55 , -22.89 , -66.13 ,4.8 ,212 
 06-NOV-2019 20:52:55 , 14.87 , 122.74 ,5.7 ,10 
 06-NOV-2019 20:38:49 , 11.98 , -88.22 ,4.8 ,10 
 06-NOV-2019 16:28:51 , 27.30 , 54.91 ,4.6 ,10 
 06-NOV-2019 16:10:54 , -10.72 , 166.09 ,4.9 ,103 
 06-NOV-2019 16:05:14 , -5.88 , 104.29 ,4.3 ,62 
 06-NOV-2019 15:56:11 , 41.28 , 70.47 ,4.4 ,49 
 06-NOV-2019 14:45:44 , -17.98 , -178.19 ,4.4 ,591 
 06-NOV-2019 14:44:05 , -18.18 , -178.29 ,4.3 ,544 
 06-NOV-2019 14:04:05 , 12.23 , -88.06 ,4.5 ,42 
 06-NOV-2019 13:53:37 , 0.19 , 96.97 ,4.3 ,10 
 06-NOV-2019 13:23:17 , 36.45 , 69.06 ,4.3 ,51 
 06-NOV-2019 13:16:14 , 38.31 , 141.86 ,4.1 ,38 
 06-NOV-2019 12:23:36 , 27.14 , 54.90 ,4.4 ,10 
 06-NOV-2019 11:49:51 , -20.85 , -178.39 ,4.2 ,533 
 06-NOV-2019 08:37:21 , 26.27 , 55.05 ,4.5 ,10 
 06-NOV-2019 07:40:43 , 27.26 , 54.95 ,5.3 ,10 
 06-NOV-2019 06:06:11 , 47.70 , 152.42 ,4.8 ,121 
 06-NOV-2019 05:59:50 , 16.21 , -97.97 ,5.0 ,30 
 06-NOV-2019 02:22:23 , 25.12 , 122.95 ,4.2 ,171 
 06-NOV-2019 02:12:43 , 16.32 , -97.94 ,4.5 ,37 
 06-NOV-2019 00:41:35 , 21.24 , -45.76 ,4.5 ,10 
 06-NOV-2019 00:39:09 , -13.72 , 167.81 ,6.0 ,10 
 06-NOV-2019 00:14:16 , 37.98 , 135.27 ,4.1 ,356 
 05-NOV-2019 23:34:15 , -13.68 , 167.72 ,5.0 ,10 
 05-NOV-2019 23:17:25 , -13.81 , 167.74 ,6.0 ,10 
 05-NOV-2019 21:34:08 , -7.32 , 126.73 ,4.1 ,355 
 05-NOV-2019 21:01:23 , -21.18 , -68.57 ,4.2 ,108 
 05-NOV-2019 20:52:22 , 36.55 , 70.13 ,5.1 ,208 
 05-NOV-2019 20:52:01 , -57.96 , -9.27 , 6.3 ,10 
 05-NOV-2019 19:18:58 , -9.52 , 121.20 ,4.0 ,83 
 05-NOV-2019 18:33:06 , 55.88 , 162.91 ,4.8 ,10 
